No,Latitude,Longitude,Altitude
1,33.751346,-84.366496,310.8
2,33.748945,-84.367720,311.0
3,33.748931,-84.367611,311.1
4,33.748853,-84.367567,311.2
5,33.748792,-84.367494,311.1
6,33.748860,-84.367416,311.0
7,33.748870,-84.367319,310.8
8,33.748855,-84.367185,310.6
9,33.748861,-84.367058,310.5
10,33.748866,-84.366948,310.3
11,33.748848,-84.366852,310.7
12,33.748888,-84.366753,310.5
13,33.748983,-84.366733,310.4
14,33.749064,-84.366734,310.2
15,33.749150,-84.366728,310.3
16,33.749232,-84.366714,310.5
17,33.749314,-84.366704,310.8
18,33.749413,-84.366724,311.1
19,33.749519,-84.366724,311.4
20,33.749638,-84.366719,311.6
21,33.749752,-84.366721,311.9
22,33.749862,-84.366724,312.2
23,33.749954,-84.366724,312.5
24,33.750043,-84.366721,312.7
25,33.750156,-84.366694,313.0
26,33.750243,-84.366705,313.0
27,33.750372,-84.366651,313.0
28,33.750455,-84.366675,313.0
29,33.750548,-84.366689,313.0
30,33.750636,-84.366712,313.0
31,33.750756,-84.366744,313.0
32,33.750856,-84.366746,312.9
33,33.750962,-84.366736,312.8
34,33.751064,-84.366706,312.7
35,33.751156,-84.366704,312.6
36,33.751207,-84.366621,312.5
37,33.751281,-84.366544,312.6
38,33.751376,-84.366483,312.7
39,33.751465,-84.366428,312.8
40,33.751498,-84.366300,312.9
41,33.751521,-84.366193,313.0
42,33.751548,-84.366083,313.1
43,33.751570,-84.365964,313.0
44,33.751601,-84.365832,312.9
45,33.751630,-84.365702,312.8
46,33.751670,-84.365548,312.7
47,33.751699,-84.365381,312.6
48,33.751730,-84.365206,312.4
49,33.751764,-84.365042,312.1
50,33.751803,-84.364879,311.8
51,33.751835,-84.364735,311.5
52,33.751872,-84.364587,311.3
53,33.751907,-84.364461,311.0
54,33.751935,-84.364339,311.0
55,33.751968,-84.364227,311.3
56,33.751999,-84.364119,311.5
57,33.752045,-84.363978,311.8
58,33.752078,-84.363871,312.1
59,33.752088,-84.363765,312.4
60,33.752121,-84.363636,312.6
61,33.752145,-84.363517,312.9
62,33.752194,-84.363396,313.3
63,33.752226,-84.363275,313.6
64,33.752245,-84.363173,314.0
65,33.752278,-84.363041,314.4
66,33.752322,-84.362906,314.5
67,33.752378,-84.362791,314.5
68,33.752397,-84.362675,314.6
69,33.752417,-84.362569,314.9
70,33.752444,-84.362440,315.2
71,33.752464,-84.362334,315.5
72,33.752468,-84.362230,315.7
73,33.752504,-84.362132,315.9
74,33.752528,-84.362019,316.1
75,33.752523,-84.361903,316.3
76,33.752535,-84.361785,316.5
77,33.752589,-84.361694,316.7
78,33.752611,-84.361567,317.0
79,33.752649,-84.361448,317.3
80,33.752655,-84.361333,317.4
81,33.752665,-84.361198,317.5
82,33.752656,-84.361063,317.5
83,33.752656,-84.360940,317.6
84,33.752630,-84.360807,317.7
85,33.752626,-84.360661,317.8
86,33.752620,-84.360560,317.9
87,33.752620,-84.360455,318.0
88,33.752614,-84.360348,318.0
89,33.752598,-84.360241,318.0
90,33.752600,-84.360137,318.0
91,33.752602,-84.360026,317.9
92,33.752591,-84.359910,317.8
93,33.752591,-84.359785,317.7
94,33.752589,-84.359666,317.6
95,33.752594,-84.359543,317.5
96,33.752599,-84.359400,317.4
97,33.752604,-84.359258,317.2
98,33.752608,-84.359108,317.0
99,33.752599,-84.358945,316.8
100,33.752590,-84.358783,316.6
101,33.752588,-84.358606,316.4
102,33.752575,-84.358444,316.2
103,33.752565,-84.358281,316.0
104,33.752561,-84.358117,315.8
105,33.752554,-84.357961,315.6
106,33.752549,-84.357797,315.3
107,33.752542,-84.357631,315.0
108,33.752535,-84.357470,314.7
109,33.752532,-84.357303,314.5
110,33.752532,-84.357144,314.2
111,33.752523,-84.356994,313.8
112,33.752529,-84.356831,313.5
113,33.752534,-84.356670,313.3
114,33.752529,-84.356503,313.0
115,33.752525,-84.356334,312.7
116,33.752532,-84.356163,312.5
117,33.752533,-84.355987,312.3
118,33.752533,-84.355885,312.1
119,33.752524,-84.355784,311.9
120,33.752522,-84.355606,311.7
121,33.752516,-84.355508,311.5
122,33.752496,-84.355323,311.5
123,33.752483,-84.355226,311.3
124,33.752507,-84.355053,311.1
125,33.752505,-84.354939,310.9
126,33.752506,-84.354741,310.7
127,33.752513,-84.354555,310.5
128,33.752503,-84.354441,310.5
129,33.752502,-84.354267,309.9
130,33.752496,-84.354100,309.4
131,33.752485,-84.353957,308.8
132,33.752456,-84.353843,308.3
133,33.752460,-84.353745,307.7
134,33.752465,-84.353643,307.3
135,33.752472,-84.353490,306.8
136,33.752460,-84.353358,306.4
137,33.752480,-84.353216,305.9
138,33.752488,-84.353070,305.5
139,33.752468,-84.352975,305.0
140,33.752419,-84.353088,305.0
141,33.752414,-84.353229,305.0
142,33.752335,-84.353319,305.5
143,33.752349,-84.353450,305.9
144,33.752371,-84.353571,306.4
145,33.752459,-84.353708,306.8
146,33.752552,-84.353715,307.0
147,33.752655,-84.353743,307.2
148,33.752767,-84.353765,307.5
149,33.752854,-84.353765,307.7
150,33.752956,-84.353781,308.0
151,33.753041,-84.353797,308.3
152,33.753151,-84.353829,308.5
153,33.753230,-84.353685,308.4
154,33.753284,-84.353613,308.2
155,33.753337,-84.353506,308.0
156,33.753380,-84.353399,307.8
157,33.753427,-84.353319,307.9
158,33.753478,-84.353195,308.0
159,33.753538,-84.353095,308.0
160,33.753610,-84.352984,308.3
161,33.753663,-84.352873,308.5
162,33.753719,-84.352751,308.5
163,33.753751,-84.352623,308.5
164,33.753767,-84.352483,308.1
165,33.753803,-84.352351,307.6
166,33.753813,-84.352195,307.6
167,33.753803,-84.352062,307.6
168,33.753806,-84.351954,307.6
169,33.753784,-84.351847,307.6
170,33.753784,-84.351745,307.6
171,33.753853,-84.351665,307.4
172,33.753950,-84.351652,307.1
173,33.754033,-84.351638,307.1
174,33.754124,-84.351671,307.1
175,33.754202,-84.351711,307.5
176,33.754260,-84.351795,307.8
177,33.754351,-84.351836,308.1
178,33.754428,-84.351869,308.4
179,33.754532,-84.351937,308.6
180,33.754621,-84.351960,308.9
181,33.754760,-84.352020,309.2
182,33.754865,-84.352116,309.5
183,33.754963,-84.352184,309.7
184,33.755067,-84.352238,309.9
185,33.755136,-84.352337,310.1
186,33.755213,-84.352377,310.3
187,33.755316,-84.352411,310.6
188,33.755388,-84.352467,310.5
189,33.755467,-84.352531,310.5
190,33.755560,-84.352558,310.4
191,33.755630,-84.352611,310.3
192,33.755714,-84.352644,310.2
193,33.755782,-84.352585,310.1
194,33.755841,-84.352495,310.0
195,33.755901,-84.352423,310.0
196,33.755996,-84.352446,310.0
197,33.756074,-84.352499,310.3
198,33.756169,-84.352531,310.5
199,33.756139,-84.352625,311.1
200,33.756141,-84.352774,311.4
201,33.756125,-84.352875,311.9
202,33.756183,-84.352972,312.5
203,33.756239,-84.353070,313.0
204,33.756286,-84.353158,313.5
205,33.756254,-84.353253,314.1
206,33.756337,-84.353231,314.6
207,33.756458,-84.353082,315.2
208,33.756546,-84.353072,315.5
209,33.756660,-84.353121,315.7
210,33.756728,-84.353186,315.7
211,33.756764,-84.353051,316.3
212,33.756855,-84.353064,316.5
213,33.756946,-84.353014,316.8
214,33.757021,-84.352905,317.1
215,33.757059,-84.352791,317.3
216,33.757135,-84.352757,317.5
217,33.757220,-84.352708,317.6
218,33.757293,-84.352765,317.8
219,33.757375,-84.352838,318.0
220,33.757387,-84.352945,318.2
221,33.757493,-84.352929,318.4
222,33.757575,-84.352976,318.3
223,33.757658,-84.353034,318.2
224,33.757680,-84.353144,318.1
225,33.757720,-84.353249,318.0
226,33.757780,-84.353315,318.0
227,33.757716,-84.353393,318.0
228,33.757757,-84.353480,318.0
229,33.757828,-84.353426,318.0
230,33.757909,-84.353309,318.0
231,33.757966,-84.353178,318.0
